,number,classification,timestamp,latitude,longitude,report,key_words
86,8420,Class A,2004-04-03 12:00:00+00:00,34.53167,-92.40778, Early morning motorist driving to work sees bipedal animal running through field,Early morning motorist driving work sees bipedal animal running field
87,8527,Class A,2004-04-23 12:00:00+00:00,35.09306,-94.356," Man has extraordinary, close encounter while fishing near Huntington","Man extraordinary, close encounter fishing near Huntington"
88,8913,Class A,2001-05-15 12:00:00+00:00,33.7985,-91.27056, Late night sighting by motorist,Late night sighting motorist
89,9507,Class A,1994-07-16 12:00:00+00:00,36.41,-93.74, Roadside sighting near Eureka Springs,Roadside sighting near Eureka Springs
90,9753,Class A,1986-07-15 12:00:00+00:00,35.44944,-91.51306, Animal peers into youngster's bedroom window,Animal peers youngster's bedroom window
91,10913,Class A,2002-11-05 12:00:00+00:00,33.14663,-92.61493, Squirrel Hunter has encounter south of El Dorado,Squirrel Hunter encounter south El Dorado
92,10919,Class A,1975-09-15 12:00:00+00:00,34.87,-92.12, Youth has sighting from his backyard on Air Force Base,Youth sighting backyard Air Force Base
93,11430,Class A,1981-07-15 12:00:00+00:00,36.31519,-93.75723, Two young men have a sighting while spelunking near Huntsville.,Two young men sighting spelunking near Huntsville.
94,11632,Class A,2005-05-07 12:00:00+00:00,33.26462,-92.64066, 4' - 5.5' upright animal seen crossing dead-end road.,4' - 5.5' upright animal seen crossing dead-end road.
95,13211,Class A,2005-12-04 12:00:00+00:00,34.285,-93.162, Early morning sighting by resident along Highway 7 near Bismarck.,Early morning sighting resident along Highway 7 near Bismarck.
96,13718,Class A,1986-06-01 12:00:00+00:00,35.34572,-93.75313, Man tells of two-legged animal crossing road in front of his car east of Paris,Man tells two-legged animal crossing road front car east Paris
97,13983,Class A,1980-06-15 12:00:00+00:00,35.0194,-90.32, Possible sighting by fisherman at Blue Lake.,Possible sighting fisherman Blue Lake.
98,16696,Class A,2004-10-15 12:00:00+00:00,34.369,-94.3745, Dusk sighting and vocalizations around property near Cove,Dusk sighting vocalizations around property near Cove
99,24254,Class A,1992-06-14 12:00:00+00:00,34.44652,-93.07654, Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton,Woman remembers male friend watching upright creature walking edge moonlit Lake Hamilton
100,26100,Class A,1996-11-15 12:00:00+00:00,33.14759,-93.89135, Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River,Truck driver sees tall red eyed creature south Fouke near Sulphur River
101,27482,Class A,2010-03-23 12:00:00+00:00,35.36335,-94.229, Man recalls incident while camping as a teenager near Cedarville,Man recalls incident camping teenager near Cedarville
102,27948,Class A,2004-01-14 12:00:00+00:00,36.29871,-92.63179, Motorist has nighttime sighting on a mountain road north of Flippin,Motorist nighttime sighting mountain road north Flippin
103,29417,Class A,2010-11-18 12:00:00+00:00,34.73147,-92.75093, Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area,Deer hunter late afternoon sighting rifle scope Winona Wildlife Management Area
104,36178,Class A,2012-07-29 12:00:00+00:00,33.26855,-91.22115, Motorist has nighttime sighting near Lake Village,Motorist nighttime sighting near Lake Village
105,36498,Class A,2012-09-13 12:00:00+00:00,33.33171,-93.98622, Pre-dawn sighting on a rural road near Fouke,Pre-dawn sighting rural road near Fouke
106,38015,Class A,2012-12-04 12:00:00+00:00,36.14065,-92.52505, Motorist observes three bigfoots crossing before him at night east of Harrison,Motorist observes three bigfoots crossing night east Harrison
107,40020,Class A,2008-01-15 12:00:00+00:00,36.33205,-91.52025, Man has a close daytime encounter with a probable Bigfoot family outside Hardy,Man close daytime encounter probable Bigfoot family outside Hardy
108,40101,Class A,2012-12-07 12:00:00+00:00,34.86535,-92.3575, Motorist views large bipedal animal squatting at night beside I-40 near Marche.,Motorist views large bipedal animal squatting night beside I-40 near Marche.
109,41827,Class A,2009-02-15 12:00:00+00:00,36.38605,-92.30614, Motorist has close encounter on Mallard Point Road near Lake Norfork,Motorist close encounter Mallard Point Road near Lake Norfork
110,46380,Class A,2011-11-24 12:00:00+00:00,35.703,-91.46231," Mother & daughter have unusual, close-up encounter on the road at night near Newark","Mother & daughter unusual, close-up encounter road night near Newark"
111,50541,Class A,2015-12-28 12:00:00+00:00,35.34737,-91.60007, Motorist has a close sighting at dusk on AR-258 outside Bald Knob,Motorist close sighting dusk AR-258 outside Bald Knob
112,55376,Class A,2003-12-15 12:00:00+00:00,36.37399,-92.27071, Two fishermen have close-up sighting while driving home at night from Norfork Lake,Two fishermen close-up sighting driving home night Norfork Lake
113,55410,Class A,2015-11-26 12:00:00+00:00,35.255,-91.50301," Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy","Deer hunter encounters several Bigfoots, possibly family unit, near Searcy"
114,56108,Class A,2016-12-02 12:00:00+00:00,34.4125,-94.1125, Sighting at dusk by a Retired Police Officer with Anthropology Degree,Sighting dusk Retired Police Officer Anthropology Degree
115,56735,Class A,2017-02-10 12:00:00+00:00,34.85324,-92.25454, Motorist has daytime sighting while driving past Joseph T. Robinson military base,Motorist daytime sighting driving past Joseph T. Robinson military base
116,57471,Class A,1976-09-15 12:00:00+00:00,34.92336,-92.30519, Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson,Memory told close daylight encounter white Bigfoot riding motorcycle inside Camp Joseph T. Robinson
117,440,Class A,2000-10-10 12:00:00+00:00,31.99003,-110.1835, A daylight sighting report by an ex soldier,A daylight sighting report ex soldier
118,3482,Class A,2000-12-24 12:00:00+00:00,34.90831,-110.8403," Nighttime sighting by motorists on Hwy 87 in Jacks Canyon, 30 miles south of Winslow","Nighttime sighting motorists Hwy 87 Jacks Canyon, 30 miles south Winslow"
119,6552,Class A,2001-06-17 12:00:00+00:00,36.09081,-109.4276, Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument,Bigfoot crosses road front vehicle traveling Navajo Route 7 near Canyon De Chelley National Monument
120,7495,Class A,1983-12-30 12:00:00+00:00,34.4,-111.5," Night time road crossing near Strawberry, Arizona","Night time road crossing near Strawberry, Arizona"
121,7566,Class A,1993-09-04 12:00:00+00:00,33.6247,-109.3191, Bow hunter has daylight sighting near Alpine.,Bow hunter daylight sighting near Alpine.
122,8685,Class A,1981-11-07 12:00:00+00:00,36.54165,-109.29, Morning sighting in the Lukachukai Mountains of northeast Arizona,Morning sighting Lukachukai Mountains northeast Arizona
123,11514,Class A,1990-07-01 12:00:00+00:00,35.656,-111.938, Evening sighting by motorists north of Flagstaff.,Evening sighting motorists north Flagstaff.
124,16580,Class A,2006-10-26 12:00:00+00:00,34.325,-109.64, Afternoon road-crossing sighting by motorist on RT 61 near Concho,Afternoon road-crossing sighting motorist RT 61 near Concho
125,17448,Class A,2007-01-22 12:00:00+00:00,32.815,-109.675, A close range road crossing on a foggy morning near Safford,A close range road crossing foggy morning near Safford
126,17804,Class A,2007-02-01 12:00:00+00:00,34.6,-109.44, Late afternoon road crossing sighting by motorist west of Springerville.,Late afternoon road crossing sighting motorist west Springerville.
127,18723,Class A,1995-07-15 12:00:00+00:00,33.85,-111.69," Late night multi-witness, road-crossing sighting near Bartlett Lake.","Late night multi-witness, road-crossing sighting near Bartlett Lake."
128,19339,Class A,2006-10-15 12:00:00+00:00,33.99989,-110.4298, Late afternoon road crossing near Cibecue (Fort Apache Reservation),Late afternoon road crossing near Cibecue (Fort Apache Reservation)
129,23136,Class A,2008-07-29 12:00:00+00:00,33.3785,-112.6432, Early morning roadside sighting of tall gray creature near Buckeye,Early morning roadside sighting tall gray creature near Buckeye
130,23358,Class A,2006-11-17 12:00:00+00:00,34.28939,-111.1367, Late night road side sighting near Tonto Creek,Late night road side sighting near Tonto Creek
131,24405,Class A,1973-12-20 12:00:00+00:00,35.241,-111.8634, Man tells of his scary encounter while traveling Route 66 in a snow storm,Man tells scary encounter traveling Route 66 snow storm
132,27495,Class A,2010-03-24 12:00:00+00:00,34.1,-110.165, Afternoon sighting by a commuter south of Show Low,Afternoon sighting commuter south Show Low
133,28946,Class A,1981-08-15 12:00:00+00:00,34.55154,-112.5421, Army Vet recalls daylight sighting near Prescott,Army Vet recalls daylight sighting near Prescott
134,29358,Class A,2011-05-31 12:00:00+00:00,34.0,-110.0, Brief daylight sighting within the city limits of Show Low,Brief daylight sighting within city limits Show Low
135,42364,Class A,1992-08-15 12:00:00+00:00,32.95,-112.73, Memory told of a daylight sighting and parallel chase in the Gila River bottoms while riding horseback,Memory told daylight sighting parallel chase Gila River bottoms riding horseback
136,47536,Class A,2014-04-22 12:00:00+00:00,34.285,-110.11, Evening sighting from a fishing boat on Fools Hollow Lake near Show Low.,Evening sighting fishing boat Fools Hollow Lake near Show Low.
137,83,Class A,1988-10-01 12:00:00+00:00,37.35944,-119.6436, Early dawn sighting by hunters near Bass Lake,Early dawn sighting hunters near Bass Lake
138,147,Class A,2000-06-15 12:00:00+00:00,38.93333,-119.9833, Sound reports from resident in South Lake Tahoe,Sound reports resident South Lake Tahoe
139,353,Class A,2000-09-23 12:00:00+00:00,38.9575,-120.0914, Night sighting by two motorists near Lake Tahoe,Night sighting two motorists near Lake Tahoe
140,528,Class A,1957-06-01 12:00:00+00:00,40.80222,-124.1625, Three children have daytime sighting near Eureka,Three children daytime sighting near Eureka
141,615,Class A,1997-11-15 12:00:00+00:00,38.28085,-119.836," Sighting by woman in Eagle Meadow, above Strawberry","Sighting woman Eagle Meadow, Strawberry"
142,849,Class A,1968-11-01 12:00:00+00:00,40.33556,-121.9139, Girl has daytime sighting near Payne's Creek,Girl daytime sighting near Payne's Creek
143,865,Class A,1997-12-18 12:00:00+00:00,37.23389,-119.2119, Two 4-wheelers have night sighting above Huntington Lake,Two 4-wheelers night sighting Huntington Lake
144,868,Class A,1994-06-01 12:00:00+00:00,38.17677,-119.9065, Campers have sighting above Pinecrest,Campers sighting Pinecrest
145,875,Class A,1974-06-01 12:00:00+00:00,41.41,-120.6781, Man has sighting near Alturas,Man sighting near Alturas
146,913,Class A,2000-07-01 12:00:00+00:00,38.93,-120.205, Hikers see creature in Desolation Wilderness,Hikers see creature Desolation Wilderness
147,919,Class A,1996-04-10 12:00:00+00:00,38.93333,-119.9833, Car passenger has nighttime sighting near Lake Tahoe,Car passenger nighttime sighting near Lake Tahoe
148,1055,Class A,1993-04-01 12:00:00+00:00,38.86,-120.1358, Two hikers have morning sighting in the Desolation Wilderness,Two hikers morning sighting Desolation Wilderness
149,1068,Class A,1995-10-29 12:00:00+00:00,37.35861,-118.9975, Two fisherman have daytime sighting above Huntington Lake,Two fisherman daytime sighting Huntington Lake
150,1090,Class A,1978-08-01 12:00:00+00:00,38.06615,-120.1877, Girl has daytime sighting near Twain Harte,Girl daytime sighting near Twain Harte
151,1229,Class A,1955-08-01 12:00:00+00:00,36.10222,-118.8489, Boy Scout has late night sighting above Porterville,Boy Scout late night sighting Porterville
152,1301,Class A,1978-07-30 12:00:00+00:00,38.19753,-119.9811, Three witnesses have daytime sighting near Strawberry,Three witnesses daytime sighting near Strawberry
153,1391,Class A,1999-03-04 12:00:00+00:00,41.45833,-122.4306, Man has late night sighting north of Redding,Man late night sighting north Redding
154,1473,Class A,1966-09-01 12:00:00+00:00,41.42806,-122.3839, Family has early evening sighting near Weed,Family early evening sighting near Weed
155,1510,Class A,1977-07-01 12:00:00+00:00,38.04806,-119.2642, Brothers have early evening sighting near Lee Vining,Brothers early evening sighting near Lee Vining
156,1653,Class A,1978-10-01 12:00:00+00:00,40.63556,-122.7325, Husband and wife have late night sighting on Highway 299,Husband wife late night sighting Highway 299
157,1919,Class A,1983-10-25 12:00:00+00:00,38.03898,-120.2339, Friends have night sighting above Sonora,Friends night sighting Sonora
158,2794,Class A,1987-05-31 12:00:00+00:00,36.05278,-118.1303, Woman has early evening sighting near Kennedy Meadows,Woman early evening sighting near Kennedy Meadows
159,2886,Class A,1993-06-15 12:00:00+00:00,38.26661,-119.8633, A Wildlife Biologist observes a large upright walking animal near Pinecrest,A Wildlife Biologist observes large upright walking animal near Pinecrest
160,2896,Class A,1944-08-01 12:00:00+00:00,41.82417,-122.9958, Sister and brother see 3 creatures near Yreka,Sister brother see 3 creatures near Yreka
161,2928,Class A,2000-07-20 12:00:00+00:00,41.3657,-123.1317, Eighteen campers find hut; videotape distressed bigfoot walking down mountain ridge,Eighteen campers find hut; videotape distressed bigfoot walking mountain ridge
162,3169,Class A,1991-01-01 12:00:00+00:00,38.25583,-122.5833, Man sees creature crossing road near Petaluma,Man sees creature crossing road near Petaluma
163,3421,Class A,1978-06-01 12:00:00+00:00,39.21278,-120.8908, Family has unusual experience outside Grass Valley,Family unusual experience outside Grass Valley
164,3672,Class A,1998-08-01 12:00:00+00:00,37.91111,-119.2569," Late night sighting by motorists travelling through Tioga Pass (Yosemite), a few miles beyond Crane Flat Campground","Late night sighting motorists travelling Tioga Pass (Yosemite), miles beyond Crane Flat Campground"
165,4446,Class A,1993-07-04 12:00:00+00:00,33.2675,-116.8625, Daytime sighting by hiker on La Jolla Indian Reservation.,Daytime sighting hiker La Jolla Indian Reservation.
166,4630,Class A,2001-06-15 12:00:00+00:00,41.21361,-122.2703, Afternoon sighting by hiker outside Dunsmuir,Afternoon sighting hiker outside Dunsmuir
167,4946,Class A,1956-10-01 12:00:00+00:00,39.3225,-120.2653, Teenager has daytime sighting near Truckee,Teenager daytime sighting near Truckee
168,6429,Class A,1994-09-15 12:00:00+00:00,40.92911,-121.6156, Woman recalls a nighttime sighting on Hwy. 299 near Burney,Woman recalls nighttime sighting Hwy. 299 near Burney
169,6521,Class A,1987-06-01 12:00:00+00:00,39.68833,-123.4817, Woman hears late night scream and has close encounter near Laytonville,Woman hears late night scream close encounter near Laytonville
170,6639,Class A,2003-07-20 12:00:00+00:00,38.85556,-120.0133, Couple have night sighting near Lake Tahoe,Couple night sighting near Lake Tahoe
