,number,classification,timestamp,latitude,longitude,report,key_words,month,year
1337,8745,Class A,1949-08-15 12:00:00+00:00,43.2547,-124.0598," One audible and two visual, early evening encounters by a coastal witness near the North Fork of the Coquille River","One audible two visual, early evening encounters coastal witness near North Fork Coquille River",8,1949
3654,33793,Class B,1949-09-15 12:00:00+00:00,48.9651,-120.5949, Memory told of hearing possible daytime knocking while working as a Fire Guard in the Pasayten Wilderness,Memory told hearing possible daytime knocking working Fire Guard Pasayten Wilderness,9,1949
979,1339,Class A,1950-01-01 12:00:00+00:00,33.10925,-89.59135, Creature seen by witnesses,Creature seen witnesses,1,1950
3450,1043,Class B,1950-05-01 12:00:00+00:00,45.75056,-121.6508, Mother relates story of daughter sighting a large animal near Mill A School,Mother relates story daughter sighting large animal near Mill A School,5,1950
766,5678,Class A,1950-07-01 12:00:00+00:00,37.83777,-82.43635, Woman recalls childhood sighting near Warfield,Woman recalls childhood sighting near Warfield,7,1950
1693,4353,Class A,1952-07-01 12:00:00+00:00,46.1911,-123.1875," Young man encounters two large, upright animals near the Columbia River, west of Longview","Young man encounters two large, upright animals near Columbia River, west Longview",7,1952
358,16408,Class A,1953-08-01 12:00:00+00:00,41.36935,-73.1512, Children observe bipedal animal walking along railroad tracks near the Housatonic River,Children observe bipedal animal walking along railroad tracks near Housatonic River,8,1953
746,1024,Class A,1953-10-01 12:00:00+00:00,37.3181,-84.92358, An account of bigfoot tool use,An account bigfoot tool use,10,1953
2823,1115,Class B,1954-06-30 12:00:00+00:00,38.441,-91.6284, Hair raising screams heard in the forest behind a four acre rye field,Hair raising screams heard forest behind four acre rye field,6,1954
417,13034,Class A,1955-01-01 12:00:00+00:00,28.043,-82.438, Early evening sighting by residents on the Hillsborough River,Early evening sighting residents Hillsborough River,1,1955
3280,24547,Class B,1955-01-01 12:00:00+00:00,35.3218,-87.2932, Witness describes childhood experiences as well as some recent Class B incidents near Ethridge,Witness describes childhood experiences well recent Class B incidents near Ethridge,1,1955
151,1229,Class A,1955-08-01 12:00:00+00:00,36.10222,-118.8489, Boy Scout has late night sighting above Porterville,Boy Scout late night sighting Porterville,8,1955
3035,4982,Class B,1956-01-01 12:00:00+00:00,39.25109,-82.3997," Personal encounter of a camper as well as a history of encounters concerning his family members, dating back 40 years","Personal encounter camper well history encounters concerning family members, dating back 40 years",1,1956
1354,12021,Class A,1956-07-15 12:00:00+00:00,43.31815,-122.1954, Boy encounters animal near Lemolo Lake,Boy encounters animal near Lemolo Lake,7,1956
167,4946,Class A,1956-10-01 12:00:00+00:00,39.3225,-120.2653, Teenager has daytime sighting near Truckee,Teenager daytime sighting near Truckee,10,1956
924,1158,Class A,1956-10-15 12:00:00+00:00,38.039,-90.7517, Child encounters a man-like creature in a shed,Child encounters man-like creature shed,10,1956
140,528,Class A,1957-06-01 12:00:00+00:00,40.80222,-124.1625, Three children have daytime sighting near Eureka,Three children daytime sighting near Eureka,6,1957
1569,679,Class A,1957-07-01 12:00:00+00:00,38.52019,-77.36115, Marine had late night sighting on military base in Quantico,Marine late night sighting military base Quantico,7,1957
536,27888,Class A,1957-07-15 12:00:00+00:00,32.86288,-83.55708, Man recalls close encounter at dusk as a youth near Macon,Man recalls close encounter dusk youth near Macon,7,1957
1053,25012,Class A,1957-09-18 12:00:00+00:00,42.87331,-100.5501," Woman recalls an encounter as a child, in an alley in the town of Valentine","Woman recalls encounter child, alley town Valentine",9,1957
3047,8086,Class B,1958-01-15 12:00:00+00:00,39.63382,-81.40079," A series of large, human-like footprints are found on a farm near Wayne National Forest","A series large, human-like footprints found farm near Wayne National Forest",1,1958
2112,16691,Class B,1958-04-15 12:00:00+00:00,37.055,-121.845, Man describes possible sighting during childhood in Hinkley Basin,Man describes possible sighting childhood Hinkley Basin,4,1958
1649,1670,Class A,1958-05-14 12:00:00+00:00,48.2475,-121.9425," Large footprint find, large creature witnessed by a school bus driver","Large footprint find, large creature witnessed school bus driver",5,1958
1183,7425,Class A,1958-11-01 12:00:00+00:00,40.92276,-82.44401, A Teenager and His Dog Encounter an Ape-like Creature While Retrieving Their Trap Lines,A Teenager His Dog Encounter Ape-like Creature While Retrieving Their Trap Lines,11,1958
2242,25670,Class B,1958-12-01 12:00:00+00:00,48.3766,-89.30945, Possible tracks found crossing field of snow 50 years ago in the City of Thunder Bay,Possible tracks found crossing field snow 50 years ago City Thunder Bay,12,1958
752,2364,Class A,1958-12-31 12:00:00+00:00,36.7999,-83.66641, Two teenage boys encounter a white ape-like animal,Two teenage boys encounter white ape-like animal,12,1958
2059,7211,Class B,1959-10-01 12:00:00+00:00,39.08,-121.42, Hunters Have Unusual Night Time Encounter,Hunters Have Unusual Night Time Encounter,10,1959
729,1330,Class A,1960-01-01 12:00:00+00:00,39.33292,-95.84024, Motorist's sighting results in a collision,Motorist's sighting results collision,1,1960
1629,1495,Class A,1960-07-18 12:00:00+00:00,47.1305,-123.0966, Man and wife in car see a sasquatch eating frogs on the road,Man wife car see sasquatch eating frogs road,7,1960
943,15610,Class A,1960-08-15 12:00:00+00:00,36.00565,-89.67815, Children see creature emerging from abandoned barn near Caruthersville,Children see creature emerging abandoned barn near Caruthersville,8,1960
2752,29549,Class B,1960-10-31 12:00:00+00:00,46.10294,-88.45181, Memory told of a possible daylight sighting while driving deer on a farm east of Iron River,Memory told possible daylight sighting driving deer farm east Iron River,10,1960
541,30135,Class A,1960-11-04 12:00:00+00:00,32.96854,-85.02602, Man recalls encounter with 7 foot tall creature on grandparents farm,Man recalls encounter 7 foot tall creature grandparents farm,11,1960
3749,3582,Class B,1960-11-15 12:00:00+00:00,38.5464,-82.25949," Hunters hear vocalization in a hollow off Route 2, near Lesage","Hunters hear vocalization hollow Route 2, near Lesage",11,1960
2387,28678,Class B,1961-03-18 12:00:00+00:00,28.90854,-82.34611, Man recalls a possible up-close nighttime encounter on Gilchrist Island,Man recalls possible up-close nighttime encounter Gilchrist Island,3,1961
2039,5232,Class B,1961-04-01 12:00:00+00:00,40.94083,-123.6283, Hunters have unusual late night experience near Willow Creek,Hunters unusual late night experience near Willow Creek,4,1961
1880,38547,Class A,1961-06-15 12:00:00+00:00,38.35806,-82.43855, Medical doctor recalls his daylight sighting as a teenager near Huntington,Medical doctor recalls daylight sighting teenager near Huntington,6,1961
1378,12951,Class A,1961-07-01 12:00:00+00:00,39.76366,-77.27178," Possible encounter between a juvenile and a human child, near Gettysburg","Possible encounter juvenile human child, near Gettysburg",7,1961
506,6097,Class A,1961-09-01 12:00:00+00:00,33.70037,-84.53352, Man describes childhood sighting at rural property on the outskirts of Atlanta,Man describes childhood sighting rural property outskirts Atlanta,9,1961
83,7234,Class A,1961-10-15 12:00:00+00:00,34.88111,-91.08056, Daylight sighting by two sisters near their farm in the early 1960s,Daylight sighting two sisters near farm early 1960s,10,1961
954,26962,Class A,1961-10-15 12:00:00+00:00,36.06055,-89.98725, Childhood face to face encounter at dusk in the river bottoms of Bootheel,Childhood face face encounter dusk river bottoms Bootheel,10,1961
3347,23531,Class B,1961-11-11 12:00:00+00:00,30.812,-95.75645," Woman tells of her husband's close encounter as a young man with ""The Hermit""  near Huntsville","Woman tells husband's close encounter young man ""The Hermit"" near Huntsville",11,1961
3483,1691,Class B,1961-12-28 12:00:00+00:00,47.92528,-117.1153, Tracks found in deep snow,Tracks found deep snow,12,1961
872,24238,Class A,1962-04-01 12:00:00+00:00,45.964,-86.1437, Man recalls multi-witness sighting in teen years near Manistique,Man recalls multi-witness sighting teen years near Manistique,4,1962
1556,9962,Class A,1962-05-01 12:00:00+00:00,41.5,-111.75, Daylight sighting off Highway 89 in the Wasatch Mountains,Daylight sighting Highway 89 Wasatch Mountains,5,1962
1132,3651,Class A,1962-06-06 12:00:00+00:00,41.30265,-81.30896," Sighting in the Audubon wildlife preserve, outside Aurora","Sighting Audubon wildlife preserve, outside Aurora",6,1962
220,25009,Class A,1962-08-14 12:00:00+00:00,37.475,-121.07," Youngsters encounter large, grey creature in a sugar beet field","Youngsters encounter large, grey creature sugar beet field",8,1962
363,445,Class A,1962-08-15 12:00:00+00:00,27.0047,-82.0332, Boy Scouts have sighting while camping at Quednau Ranch,Boy Scouts sighting camping Quednau Ranch,8,1962
2754,30089,Class B,1962-11-15 12:00:00+00:00,44.1708,-86.10335, Memory told of a possible encounter while deer hunting east of Manistee,Memory told possible encounter deer hunting east Manistee,11,1962
2007,2309,Class B,1963-01-27 12:00:00+00:00,38.1625,-120.0522, 10-Ft. Shrieking Monster reported near Cold Springs,10-Ft. Shrieking Monster reported near Cold Springs,1,1963
2008,2310,Class B,1963-01-28 12:00:00+00:00,38.1625,-120.0522, Large prints found below Cold Springs,Large prints found Cold Springs,1,1963
578,5720,Class A,1963-06-15 12:00:00+00:00,42.79166,-116.25, Night time rabbit hunters spotlight 7' tall biped leaping over 4' sagebrush as it escapes from view,Night time rabbit hunters spotlight 7' tall biped leaping 4' sagebrush escapes view,6,1963
1178,7026,Class A,1963-07-01 12:00:00+00:00,40.85035,-82.29486, Three teenage boys witness an ape-like creature lope across a field into the woods,Three teenage boys witness ape-like creature lope across field woods,7,1963
509,8405,Class A,1963-07-04 12:00:00+00:00,31.08925,-81.41267, Early evening road crossing sighting by motorist on Jekyll Island,Early evening road crossing sighting motorist Jekyll Island,7,1963
3181,7785,Class B,1963-07-15 12:00:00+00:00,43.8628,-121.8829, Family in small boat hears animal retreating and finds prints,Family small boat hears animal retreating finds prints,7,1963
172,6961,Class A,1963-08-01 12:00:00+00:00,40.26639,-123.8692, Teen has daytime sighting near Myers Flat,Teen daytime sighting near Myers Flat,8,1963
487,41995,Class A,1963-09-15 12:00:00+00:00,29.67757,-82.35501, Memory told of a close encounter with a man-ape outside Gainesville,Memory told close encounter man-ape outside Gainesville,9,1963
1372,9546,Class A,1963-10-01 12:00:00+00:00,41.9548,-78.65621, Teens chased by upright running animal near Bradford,Teens chased upright running animal near Bradford,10,1963
2001,1953,Class B,1963-12-01 12:00:00+00:00,38.23243,-119.984, Deputy Sheriff sees strange footprints above Strawberry,Deputy Sheriff sees strange footprints Strawberry,12,1963
1459,4141,Class A,1964-04-15 12:00:00+00:00,30.73861,-94.89778," Witness spots a large, dark, hairy creature standing 50 yards away","Witness spots large, dark, hairy creature standing 50 yards away",4,1964
296,31992,Class A,1964-06-15 12:00:00+00:00,44.30352,-80.66389, Man recalls his nighttime roadside sighting near Markdale,Man recalls nighttime roadside sighting near Markdale,6,1964
3303,2396,Class B,1964-06-30 12:00:00+00:00,32.26889,-96.69583, Tall creature seen by witness,Tall creature seen witness,6,1964
343,15273,Class A,1964-08-01 12:00:00+00:00,40.17585,-105.3792, Young picnicker sees strange creature on rocky ledge above the St. Vrain River,Young picnicker sees strange creature rocky ledge St. Vrain River,8,1964
3390,28095,Class B,1964-08-01 12:00:00+00:00,40.60779,-111.6508, Man recalls possible encounter at a family cabin in Big Cottonwood Canyon outside Salt Lake City,Man recalls possible encounter family cabin Big Cottonwood Canyon outside Salt Lake City,8,1964
2270,2553,Class B,1964-08-30 12:00:00+00:00,38.90833,-107.575," Bowhunter and wife abandon deer when threatened by large, unseen animal","Bowhunter wife abandon deer threatened large, unseen animal",8,1964
3250,5381,Class B,1964-10-10 12:00:00+00:00,34.0431,-80.80685, Solider describes late night encounter on Fort Jackson,Solider describes late night encounter Fort Jackson,10,1964
2055,6962,Class B,1964-11-01 12:00:00+00:00,40.20556,-123.4908, Friends hear late night scream near Garberville,Friends hear late night scream near Garberville,11,1964
658,30367,Class A,1964-11-07 12:00:00+00:00,39.8213,-88.1676, Memories told of encounters experienced by a family living near Villa Grove,Memories told encounters experienced family living near Villa Grove,11,1964
2442,4236,Class B,1965-06-15 12:00:00+00:00,33.4119,-82.13665, Man recalls a possible encounter as a teen at Fort Gordon,Man recalls possible encounter teen Fort Gordon,6,1965
173,6963,Class A,1965-07-01 12:00:00+00:00,40.26639,-123.8692, Teens have unusual experience near Myers Flat,Teens unusual experience near Myers Flat,7,1965
182,9202,Class A,1965-07-01 12:00:00+00:00,39.205,-121.58, Man remembers childhood daytime sighting along the Feather River,Man remembers childhood daytime sighting along Feather River,7,1965
858,20002,Class A,1965-07-01 12:00:00+00:00,46.01398,-87.98718, Afternoon highway crossing near Felch,Afternoon highway crossing near Felch,7,1965
847,5652,Class A,1965-07-15 12:00:00+00:00,43.94111,-83.27139, Apelike creature seen by children on a sand dune near Caseville,Apelike creature seen children sand dune near Caseville,7,1965
277,21795,Class A,1965-07-15 12:00:00+00:00,50.91725,-100.9129, Childhood incidents in Manitoba,Childhood incidents Manitoba,7,1965
1685,3150,Class A,1965-07-30 12:00:00+00:00,47.3338,-121.2309, Three witnesses throwing rocks in lake see a Bigfoot peeking at them,Three witnesses throwing rocks lake see Bigfoot peeking,7,1965
1012,1939,Class A,1965-10-01 12:00:00+00:00,34.6894,-77.2914, Youth's presence startles unknown animal,Youth's presence startles unknown animal,10,1965
2584,40475,Class B,1965-10-02 12:00:00+00:00,41.96925,-89.38184, Memory told of strange occurrences while growing up near Castle Rock State Park,Memory told strange occurrences growing near Castle Rock State Park,10,1965
246,5172,Class A,1965-10-20 12:00:00+00:00,56.3321,-121.3324, Multi-witness road-crossing sighting outside Fort St.John,Multi-witness road-crossing sighting outside Fort St.John,10,1965
2998,22561,Class B,1966-01-15 12:00:00+00:00,43.0949,-74.27923, Man recalls childhood observation - large tracks with long stride in snow - near Mayfield,Man recalls childhood observation - large tracks long stride snow - near Mayfield,1,1966
1434,25440,Class A,1966-04-15 12:00:00+00:00,36.30155,-86.60155, Man recalls multiple witness encounter near Hendersonville,Man recalls multiple witness encounter near Hendersonville,4,1966
3574,13816,Class B,1966-05-01 12:00:00+00:00,47.969,-123.582, Possible encounter with soldier training training in the Olympic National Forest,Possible encounter soldier training training Olympic National Forest,5,1966
1286,34555,Class A,1966-08-15 12:00:00+00:00,36.13222,-95.79677, Woman recalls her nighttime face to face encounter at her window outside Tulsa,Woman recalls nighttime face face encounter window outside Tulsa,8,1966
2176,10572,Class B,1966-08-15 12:00:00+00:00,49.69263,-119.7497, Possible approach to a camp outside Penticton,Possible approach camp outside Penticton,8,1966
179,8059,Class A,1966-09-01 12:00:00+00:00,39.22361,-123.7675, Teenagers have sighting of two creatures near Albion,Teenagers sighting two creatures near Albion,9,1966
154,1473,Class A,1966-09-01 12:00:00+00:00,41.42806,-122.3839, Family has early evening sighting near Weed,Family early evening sighting near Weed,9,1966
2667,30814,Class B,1967-01-15 12:00:00+00:00,37.31413,-82.13403, Possible encounters at a home located on a steep hillside near Ransom,Possible encounters home located steep hillside near Ransom,1,1967
196,12294,Class A,1967-03-10 12:00:00+00:00,41.75,-123.35, Daylight sighting near Happy Camp,Daylight sighting near Happy Camp,3,1967
1673,1973,Class A,1967-03-15 12:00:00+00:00,46.23361,-119.3172," Teen hunter sees a sasquatch at a distance while bird hunting, and found tracks five years before","Teen hunter sees sasquatch distance bird hunting, found tracks five years",3,1967
888,29409,Class A,1967-05-17 12:00:00+00:00,45.40985,-83.85985, Woman remembers childhood sighting near Rogers City,Woman remembers childhood sighting near Rogers City,5,1967
3044,7830,Class B,1967-07-01 12:00:00+00:00,41.38274,-82.12263," Two teenagers witness something running from a pack of dogs on two legs, screaming very loud. The next day large five toed tracks are found","Two teenagers witness something running pack dogs two legs, screaming loud. The next day large five toed tracks found",7,1967
3543,9868,Class B,1967-07-15 12:00:00+00:00,46.951,-122.2985, Youths in Summer Camp have noisy nighttime experience,Youths Summer Camp noisy nighttime experience,7,1967
574,1801,Class A,1967-07-29 12:00:00+00:00,47.95614,-116.7787, Close daylight sighting of animal crossing road near Spirit Lake,Close daylight sighting animal crossing road near Spirit Lake,7,1967
952,24404,Class A,1967-07-30 12:00:00+00:00,36.97061,-92.09264, Woman recalls a very close encounter as a child on a farm near the Mark Twain National Forest,Woman recalls close encounter child farm near Mark Twain National Forest,7,1967
692,46494,Class A,1967-08-15 12:00:00+00:00,41.9586,-87.8574, Memory told of a daytime sighting in Schiller Woods,Memory told daytime sighting Schiller Woods,8,1967
1639,1596,Class A,1967-08-16 12:00:00+00:00,46.94917,-122.6869," Two men witness three large individuals, two very large and the other about two-thirds their size","Two men witness three large individuals, two large two-thirds size",8,1967
3464,1564,Class B,1967-08-18 12:00:00+00:00,46.49139,-122.9367," ""Brinson Monster""","""Brinson Monster""",8,1967
1387,23956,Class A,1967-09-14 12:00:00+00:00,40.32247,-79.16817, Man recounts boyhood sighting at Fairfield Summer Camp near Ligonier,Man recounts boyhood sighting Fairfield Summer Camp near Ligonier,9,1967
1644,1644,Class A,1967-10-18 12:00:00+00:00,46.385,-122.1379, Witness saw something he felt confident few men had ever seen,Witness saw something felt confident men ever seen,10,1967
2592,42730,Class B,1968-05-04 12:00:00+00:00,38.92993,-90.53175," Childhood memory told of seeing an upright, white animal while playing in a creek near Brussels","Childhood memory told seeing upright, white animal playing creek near Brussels",5,1968
1156,4953,Class A,1968-08-01 12:00:00+00:00,40.00915,-82.67252, Family has sighting on farm along Headleys Mill Road,Family sighting farm along Headleys Mill Road,8,1968
3718,25082,Class B,1968-08-15 12:00:00+00:00,45.02176,-88.5233," Retired police officer recalls he and a friend being intimidated from continuing their hike, near Bonita","Retired police officer recalls friend intimidated continuing hike, near Bonita",8,1968
3798,3467,Class C,1968-08-15 12:00:00+00:00,37.846,-89.0111, Witnesses describe 'huge' black creature that throws dirt at them near Chittyville,Witnesses describe 'huge' black creature throws dirt near Chittyville,8,1968
3170,5816,Class B,1968-08-23 12:00:00+00:00,45.2075,-121.886, Nighttime encounter by a worker at a logging site,Nighttime encounter worker logging site,8,1968
3443,925,Class B,1968-08-30 12:00:00+00:00,47.495,-120.835," Backpacker observes a tall, early morning visitor in camp","Backpacker observes tall, early morning visitor camp",8,1968
1996,629,Class B,1968-09-01 12:00:00+00:00,38.30056,-120.7053, Hunter locates large footprints near Railroad Flats,Hunter locates large footprints near Railroad Flats,9,1968
2165,857,Class B,1968-09-24 12:00:00+00:00,49.70889,-125.2581, Possible sighting around 2,Possible sighting around 2,9,1968
618,12984,Class A,1968-09-28 12:00:00+00:00,42.1295,-88.1577, Nighttime sighting by motorists east of Carpentersville,Nighttime sighting motorists east Carpentersville,9,1968
2905,6960,Class B,1968-10-16 12:00:00+00:00,35.42525,-77.67995, Early morning vocalizations heard near Rainbow Creek,Early morning vocalizations heard near Rainbow Creek,10,1968
1445,1526,Class A,1968-10-18 12:00:00+00:00,31.30853,-94.76362," Couple parked on dirt road encounter hairy, man-like creature","Couple parked dirt road encounter hairy, man-like creature",10,1968
142,849,Class A,1968-11-01 12:00:00+00:00,40.33556,-121.9139, Girl has daytime sighting near Payne's Creek,Girl daytime sighting near Payne's Creek,11,1968
2769,37448,Class B,1968-11-15 12:00:00+00:00,44.377,-84.4995, Hunter recalls a possible encounter during deer season near St. Helen,Hunter recalls possible encounter deer season near St. Helen,11,1968
1643,1621,Class A,1969-03-05 12:00:00+00:00,45.66194,-122.0144, Fisherman witnesses bigfoot cross the road in front of his car,Fisherman witnesses bigfoot cross road front car,3,1969
3476,1620,Class B,1969-03-09 12:00:00+00:00,46.3341,-121.7913, Family on vacation find tracks in an isolated area,Family vacation find tracks isolated area,3,1969
373,723,Class A,1969-06-15 12:00:00+00:00,28.50665,-82.50591, creature sitting on a wood pile seen watching witness,creature sitting wood pile seen watching witness,6,1969
2739,21916,Class B,1969-07-01 12:00:00+00:00,41.80205,-85.84005, Possible Evening Encounter by Woman on Horseback near Union,Possible Evening Encounter Woman Horseback near Union,7,1969
949,22448,Class A,1969-07-16 12:00:00+00:00,37.236,-89.55949, Early morning sighting near Scott City Diversion Canal,Early morning sighting near Scott City Diversion Canal,7,1969
3252,13674,Class B,1969-07-18 12:00:00+00:00,35.148,-81.861, Sightings around a property near Chesnee,Sightings around property near Chesnee,7,1969
1531,14376,Class A,1969-07-20 12:00:00+00:00,32.8269,-98.3298, Encounter during a summer camp campout near the Brazos River,Encounter summer camp campout near Brazos River,7,1969
1870,24421,Class A,1969-08-01 12:00:00+00:00,37.2875,-81.68124, Woman remembers daylight sighting while walking in the Slate Creek area,Woman remembers daylight sighting walking Slate Creek area,8,1969
648,28714,Class A,1969-08-09 12:00:00+00:00,40.62288,-89.99328, Memory told of seeing a bigfoot on the side of a road along Middle Branch Creek,Memory told seeing bigfoot side road along Middle Branch Creek,8,1969
67,1944,Class A,1969-08-16 12:00:00+00:00,33.76986,-94.3643, Family has multiple encounters with white bigfoot creature,Family multiple encounters white bigfoot creature,8,1969
576,4741,Class A,1969-08-16 12:00:00+00:00,44.91666,-116.0833, Four witnesses have encounter near McCall,Four witnesses encounter near McCall,8,1969
2014,2935,Class B,1969-09-01 12:00:00+00:00,41.30056,-124.0644, Father and son see large footprints outside Orick,Father son see large footprints outside Orick,9,1969
629,24147,Class A,1969-09-01 12:00:00+00:00,41.55965,-90.40675, Creature seen at a flooded rock quarry near Hampton,Creature seen flooded rock quarry near Hampton,9,1969
272,34822,Class A,1969-09-15 12:00:00+00:00,49.20805,-117.9636, Memory told of a nighttime sighting while traveling on a mountainside near Rossland,Memory told nighttime sighting traveling mountainside near Rossland,9,1969
585,10510,Class A,1969-10-18 12:00:00+00:00,48.1143,-116.0558, Logger and granddaughter have brief sighting in the Selkirk Mountains,Logger granddaughter brief sighting Selkirk Mountains,10,1969
1707,5453,Class A,1969-11-15 12:00:00+00:00,46.6711,-121.5863, Large bipedal animal seen 5 miles East of Packwood on Hwy 12,Large bipedal animal seen 5 miles East Packwood Hwy 12,11,1969
1706,5452,Class A,1969-11-19 12:00:00+00:00,46.67389,-121.5867," A large bipedal animal seen in the headlights on hwy 12,  5 miles East of Packwood","A large bipedal animal seen headlights hwy 12, 5 miles East Packwood",11,1969
1877,29124,Class A,1969-11-24 12:00:00+00:00,38.1882,-80.1177, Recollection of a daylight sighting while deer hunting near Greenbrier River,Recollection daylight sighting deer hunting near Greenbrier River,11,1969
1429,23645,Class A,1970-04-01 12:00:00+00:00,35.68449,-83.53575," Sighting by motorist in the Great Smoky Mountains National Park, not far from the park entrance","Sighting motorist Great Smoky Mountains National Park, far park entrance",4,1970
3494,2602,Class B,1970-04-14 12:00:00+00:00,47.7117,-121.1544, Loud vocalizations heard near Stevens Pass,Loud vocalizations heard near Stevens Pass,4,1970
3456,1384,Class B,1970-05-13 12:00:00+00:00,47.5225,-121.7569, Vocalizations heard by hikers,Vocalizations heard hikers,5,1970
1592,35477,Class A,1970-05-15 12:00:00+00:00,39.14588,-77.67422, Memory told of a nighttime sighting while joy riding on train tracks near Purcellville,Memory told nighttime sighting joy riding train tracks near Purcellville,5,1970
827,56107,Class A,1970-05-15 12:00:00+00:00,29.5385,-90.593, Memory told of a nighttime sighting while working as a police officer answering a prowler call in Marrero,Memory told nighttime sighting working police officer answering prowler call Marrero,5,1970
1578,7392,Class A,1970-05-16 12:00:00+00:00,36.63931,-78.55758, Youth catches standing figure in flashlight glow during camp-out,Youth catches standing figure flashlight glow camp-out,5,1970
2490,16714,Class B,1970-06-01 12:00:00+00:00,42.55576,-96.47562, Two men remember hearing bone-chilling scream while parking at lookout point in Stone State Park,Two men remember hearing bone-chilling scream parking lookout point Stone State Park,6,1970
71,2957,Class A,1970-06-15 12:00:00+00:00,35.9975,-93.83426, Youths riding in back of pick-up have close observation of large biped crossing road,Youths riding back pick-up close observation large biped crossing road,6,1970
1403,13673,Class A,1970-06-24 12:00:00+00:00,33.007,-80.156," Various incidents around home with women and children only, near Summerville","Various incidents around home women children only, near Summerville",6,1970
3509,4669,Class B,1970-07-01 12:00:00+00:00,46.37,-122.82, Memory told of hearing possible vocalizations while camping at Hollywood Gorge near Castle Rock,Memory told hearing possible vocalizations camping Hollywood Gorge near Castle Rock,7,1970
3203,13037,Class B,1970-07-15 12:00:00+00:00,45.4861,-122.277, Possible nest nest and food remains found by retired soldier near the Sandy River,Possible nest nest food remains found retired soldier near Sandy River,7,1970
3393,38797,Class B,1970-07-17 12:00:00+00:00,40.4871,-112.1402, Woman recalls childhood experience of a terrifying night-time encounter while camping near Kennecott Copper mine,Woman recalls childhood experience terrifying night-time encounter camping near Kennecott Copper mine,7,1970
555,1234,Class A,1970-08-15 12:00:00+00:00,43.078,-91.3867, Creature observed by witness,Creature observed witness,8,1970
3171,6027,Class B,1970-08-15 12:00:00+00:00,44.6335,-121.8165, Heavy steps around tent in dark scare backpackers,Heavy steps around tent dark scare backpackers,8,1970
2976,5692,Class B,1970-09-01 12:00:00+00:00,39.592,-119.975, Father and son hear vocalizations on Peavine Mt,Father son hear vocalizations Peavine Mt,9,1970
870,23929,Class A,1970-09-01 12:00:00+00:00,46.56913,-88.28403, Dusk sighting by two women near Three Lakes (w/sketch by artist,Dusk sighting two women near Three Lakes (w/sketch artist,9,1970
1587,24569,Class A,1970-09-16 12:00:00+00:00,38.73048,-78.33453, A couple remembers their daylight sighting while driving thru the Shenandoah National Park many years ago,A couple remembers daylight sighting driving thru Shenandoah National Park many years ago,9,1970
